,days,confirmed,recovered,deceased
0,1,14,0,0
1,2,18,0,0
2,3,6,0,0
3,4,3,0,1
4,5,3,0,0
5,6,4,0,0
6,7,4,0,0
7,8,12,0,0
8,9,10,0,1
9,10,23,0,0
10,11,10,0,0
11,12,15,1,0
12,13,3,0,1
13,14,31,18,1
14,15,30,6,2
15,16,17,0,1
16,17,17,14,2
17,18,82,0,1
18,19,33,0,3
19,20,88,3,8
20,21,64,8,5
21,22,148,2,6
22,23,112,4,13
23,24,121,14,7
24,25,150,9,12
25,26,117,38,8
26,27,229,8,25
27,28,210,63,12
28,29,187,20,17
29,30,221,9,22
30,31,352,12,11
31,32,346,30,18
32,33,236,36,9
33,34,285,5,7
34,35,120,31,7
35,36,327,34,10
36,37,552,142,12
37,38,466,65,9
38,39,552,150,19
39,40,431,67,18
40,41,778,51,14
41,42,390,117,18
42,43,811,119,22
43,44,440,112,19
44,45,522,94,27
45,46,728,106,31
46,47,597,205,32
47,48,583,180,27
48,49,1008,106,26
49,50,790,121,36
50,51,678,115,27
51,52,1567,350,35
52,53,984,354,34
53,54,1233,275,34
54,55,1216,207,43
55,56,1089,169,37
56,57,1165,330,48
57,58,1943,399,53
58,59,1230,587,36
59,60,1026,339,53
60,61,1495,422,54
61,62,1602,542,44
62,63,1576,475,49
63,64,1606,524,67
64,65,2347,600,63
65,66,2005,749,51
66,67,2078,1202,76
67,68,2161,679,65
68,69,2345,1408,64
69,70,2940,857,63
70,71,2608,821,60
71,72,3041,1196,58
72,73,2436,1186,60
73,74,2091,1168,97
74,75,2190,964,105
75,76,2598,698,85
76,77,2682,8381,116
77,78,2940,1084,99
78,79,2487,1248,89
79,80,2358,779,76
80,81,2287,1225,103
81,82,2560,996,122
82,83,2933,1352,123
83,84,2436,1466,139
84,85,2739,2243,120
85,86,3007,1924,91
86,87,2554,1661,109
87,88,2258,1664,120
88,89,3254,1877,149
89,90,3607,1562,152
90,91,3493,1718,127
91,92,3427,1550,113
92,93,3390,1632,120
93,94,2786,5071,178
94,95,2701,1802,1409
95,96,3307,1315,114
96,97,3752,1672,100
97,98,3827,1935,142
98,99,3874,1380,91
99,100,3870,1591,186
100,101,3721,1962,113
101,102,3214,1925,248
102,103,3889,4161,208
103,104,4842,3661,192
